id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
483499,2013-12-15,2013-12-15,,Lisbon,,3042,duarte,2013-12-18 13:46:14 UTC,2019-11-29 20:56:05 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/483499,https://static.inaturalist.org/photos/611463/medium.jpg?1387374381,,"Eurasian Pigmy Shrew, Sorex minutus, Vagueira, Portugal",Found dead on the street.,false,1,0,false,,"Vagueira, Vagos, Aveiro, Portugal",40.56415,-8.761239,50,,,false,,,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
1226740,1988-08-02,1988-08-02,,Rome,false,29474,sindic,2015-02-10 14:03:15 UTC,2019-08-15 19:50:22 UTC,needs_id,,http://www.inaturalist.org/observations/1226740,https://static.inaturalist.org/photos/1545750/medium.JPG?1423599801,,"","",false,0,0,false,,San Jacinto / Portugal,40.675009,-8.731651,1000,,,false,,,Crocidura cf. suaveolens,Crocidura suaveolens,Lesser White-toothed Shrew,Mammalia,46631
1938589,Fri Sep 11 2015 22:49:52 GMT+0100 (GMT+1),2015-09-11,2015-09-11 20:49:52 UTC,Amsterdam,false,106302,premasagar,2015-09-12 07:07:23 UTC,2019-11-23 01:22:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1938589,https://static.inaturalist.org/photos/2373037/medium.jpg?1442041755,,"",,true,3,0,false,3,Portugal,40.3496118546,-7.9365036815,,obscured,open,true,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
7170815,2017-07-23 12:46:58 da tarde WEST,2017-07-23,2017-07-23 11:46:58 UTC,Europe/London,,296454,jpmalves,2017-07-23 11:50:21 UTC,2018-02-26 03:26:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7170815,https://static.inaturalist.org/photos/9240371/medium.jpeg?1500810624,,"",,false,0,0,false,2,Portugal,37.6668346665,-8.7896140251,4128,obscured,,true,gps,gps,Soricidae,Soricidae,Shrews,Mammalia,46341
9087372,2017-12-02 11:42:43 da manhã WET,2017-12-02,2017-12-02 11:42:43 UTC,Europe/London,,16760,danimon,2017-12-08 11:46:16 UTC,2017-12-08 11:48:56 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/9087372,https://static.inaturalist.org/photos/12273155/medium.jpeg?1512733580,,"",Encontrado morto no caminho. Levado para casa para fotografar.,false,0,0,false,2,"Unnamed Road, 6260 Manteigas, Portugal",40.4234328939,-7.5151862204,172,,,false,gps,gps,Musaranhos,Soricidae,Shrews,Mammalia,46341
9798386,Fri Feb 09 2018 09:34:06 GMT+0000 (GMT),2018-02-09,2018-02-09 09:34:06 UTC,UTC,false,490534,mnc,2018-02-09 18:32:02 UTC,2019-11-23 01:16:09 UTC,research,,https://www.inaturalist.org/observations/9798386,https://static.inaturalist.org/photos/13408198/medium.jpg?1518201126,,"",Fotografado e devolvido à natureza.,false,3,0,false,3,"Travessa das Fontainhas, Alcobaça, Leiria, PT",39.55875,-9.0242833333,32,,open,false,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
13387562,2018-06-12 3:44:04 PM GMT+01:00,2018-06-12,2018-06-12 13:44:04 UTC,Amsterdam,,29729,ldacosta,2018-06-13 07:06:49 UTC,2018-06-15 14:42:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13387562,https://static.inaturalist.org/photos/19634019/medium.jpeg?1528873618,,"",,false,1,0,false,2,"Coruche, PT-SA, PT",38.8403171612,-8.3977984459,7,,,false,,,Землеройковые,Soricidae,Shrews,Mammalia,46341
14674321,2011-03-23,2011-03-23,,Lisbon,false,1092269,marioestevens,2018-07-24 01:29:11 UTC,2019-07-14 22:02:05 UTC,research,,https://www.inaturalist.org/observations/14674321,https://static.inaturalist.org/photos/21873545/medium.jpeg?1532395750,,"","",false,1,0,false,,Portugal - Pragal,38.6795509999,-9.1726374137,10,,open,false,,,Musaranho-de-dentes-brancos,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
14779955,2011-03-05,2011-03-05,,Lisbon,false,682977,francisco100,2018-07-27 07:44:22 UTC,2019-11-23 01:15:27 UTC,research,,https://www.inaturalist.org/observations/14779955,https://static.inaturalist.org/photos/22055955/medium.jpeg?1532677441,,"","",false,2,0,false,,Portugal - Parque Biológico de Gaia,41.0975773502,-8.5559034348,10,,open,false,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
14925613,2017-01-03,2017-01-03,,Lisbon,false,682977,francisco100,2018-07-30 03:57:19 UTC,2018-07-30 08:49:44 UTC,needs_id,,https://www.inaturalist.org/observations/14925613,https://static.inaturalist.org/photos/22276078/medium.jpeg?1532923034,,"","",false,0,0,false,,Portugal - Cercal,39.2104767,-8.99701081,10,,,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
15228993,2013-02-28,2013-02-28,,UTC,,1109953,jdinares,2018-08-08 16:33:53 UTC,2018-08-16 17:39:06 UTC,needs_id,,https://www.inaturalist.org/observations/15228993,https://static.inaturalist.org/photos/22787744/medium.jpeg?1533746031,,"",Soricidae? Suncus?,false,1,0,false,,Portugal - Sobral da Lagoa,39.3518275398,-9.1890147328,10,,,false,,,Shrews,Soricidae,Shrews,Mammalia,46341
15228996,2013-02-28,2013-02-28,,UTC,,1109953,jdinares,2018-08-08 16:34:05 UTC,2019-07-14 22:14:02 UTC,needs_id,,https://www.inaturalist.org/observations/15228996,https://static.inaturalist.org/photos/22787756/medium.jpeg?1533746039,,"",Soricidae? Sorex?,false,3,0,false,,Portugal - Sobral da Lagoa,39.3518275398,-9.1890147328,10,,open,false,,,Crocidura,Crocidura,Musk Shrews,Mammalia,46557
15568762,2017/09/09 4:30 PM UTC,2017-09-09,,UTC,,1092338,mrmferreira,2018-08-17 14:26:17 UTC,2019-10-24 16:01:35 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/15568762,https://static.inaturalist.org/photos/23286233/medium.jpg?1534515430,,"",Rescued from a pool,false,0,1,false,,"2560 A dos Cunhados, Portugal",39.1398667626,-9.3773171422,4,,open,false,,,Shrews,Soricidae,Shrews,Mammalia,46341
