id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9336468,2018-01-01 3:31:05 PM GMT+00:00,2018-01-01,2018-01-01 15:31:05 UTC,Casablanca,29729,ldacosta,2018-01-01 21:44:20 UTC,2018-01-24 10:23:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9336468,https://static.inaturalist.org/photos/12666973/medium.jpeg?1514843078,,"","",2,0,false,2,"Unnamed Road, 7000, Portugal",38.5658456902,-8.0820084856,8,,,false,,,,Évora,,Portugal,Évora,Évora,Common Buzzard,Buteo buteo,Common Buzzard,Aves,204472
9348474,2018/01/02 10:08 AM WET,2018-01-02,2018-01-02 10:08:00 UTC,Europe/London,691165,pbeja65,2018-01-02 23:16:13 UTC,2018-11-11 12:42:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9348474,https://static.inaturalist.org/photos/12686181/medium.jpeg?1514934353,,"",,3,0,false,,"2510 Óbidos, Portugal",39.398,-9.2001383333,,,open,false,,,,Óbidos,,Portugal,Leiria,Óbidos,Brant,Branta bernicla,Brant,Aves,7087
9348475,2018/01/02 9:54 AM WET,2018-01-02,2018-01-02 09:54:00 UTC,Europe/London,691165,pbeja65,2018-01-02 23:16:13 UTC,2019-02-04 11:50:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9348475,https://static.inaturalist.org/photos/12686184/medium.jpeg?1514934362,,"",,4,0,false,,"2510 Óbidos, Portugal",39.39914,-9.19807,,,open,false,,,,Óbidos,,Portugal,Leiria,Óbidos,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Aves,3978
9348476,2018/01/02 9:43 AM WET,2018-01-02,2018-01-02 09:43:00 UTC,Europe/London,691165,pbeja65,2018-01-02 23:16:14 UTC,2018-11-11 12:42:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9348476,https://static.inaturalist.org/photos/12686281/medium.jpeg?1514934523,,"",,2,0,false,,"2510 Óbidos, Portugal",39.3990333333,-9.19821,,,open,false,,,,Óbidos,,Portugal,Leiria,Óbidos,Sandwich Tern,Thalasseus sandvicensis,Sandwich Tern,Aves,144541
9348477,2018/01/02 10:30 AM WET,2018-01-02,2018-01-02 10:30:00 UTC,Europe/London,691165,pbeja65,2018-01-02 23:16:15 UTC,2018-11-11 12:42:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9348477,https://static.inaturalist.org/photos/12686352/medium.jpeg?1514934794,,"",,1,0,false,,Portugal,39.3051712252,-9.2321902737,,,obscured,true,,,,Óbidos,,Portugal,Leiria,Óbidos,Eurasian Curlew,Numenius arquata,Eurasian Curlew,Aves,3896
9348478,2018/01/02 10:40 AM WET,2018-01-02,2018-01-02 10:40:00 UTC,Europe/London,691165,pbeja65,2018-01-02 23:16:16 UTC,2019-03-24 09:11:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9348478,https://static.inaturalist.org/photos/12686379/medium.jpeg?1514934883,,"",,6,0,false,,"2510 Óbidos, Portugal",39.39799,-9.200155,,,open,false,,,,Óbidos,,Portugal,Leiria,Óbidos,Grey Heron,Ardea cinerea,Grey Heron,Aves,4954
9395721,2018/01/07 10:35 AM WET,2018-01-07,2018-01-07 10:35:00 UTC,Europe/London,3042,duarte,2018-01-07 19:30:21 UTC,2019-09-22 17:31:34 UTC,research,CC-BY,https://www.inaturalist.org/observations/9395721,https://static.inaturalist.org/photos/12767770/medium.jpeg?1515351570,,"",,5,0,false,,Portugal,33.1102469359,-16.2800247772,15,,obscured,true,,,,Porto Santo,Madeira,Portugal,Madeira,Porto Santo,Common Hoopoe,Upupa epops,Common Hoopoe,Aves,20969
9395722,2018/01/07 11:59 AM WET,2018-01-07,2018-01-07 11:59:00 UTC,Europe/London,3042,duarte,2018-01-07 19:30:21 UTC,2019-03-07 07:43:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/9395722,https://static.inaturalist.org/photos/12768007/medium.jpeg?1515352629,,"",,2,0,false,,Portugal,33.0417916082,-16.300244177,15,,obscured,true,,,,Porto Santo,Madeira,Portugal,Madeira,Porto Santo,Spanish Sparrow,Passer hispaniolensis,Spanish Sparrow,Aves,13854
9395723,2018/01/07 12:21 PM WET,2018-01-07,2018-01-07 12:21:00 UTC,Europe/London,3042,duarte,2018-01-07 19:30:21 UTC,2019-01-23 11:32:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/9395723,https://static.inaturalist.org/photos/12768070/medium.jpeg?1515352798,,"",,4,0,false,,Portugal,33.0011022426,-16.3301166081,31,,obscured,true,,,,Porto Santo,Madeira,Portugal,Madeira,Porto Santo,Eurasian Moorhen,Gallinula chloropus,Eurasian Moorhen,Aves,201282
9395724,2018/01/07 12:24 PM WET,2018-01-07,2018-01-07 12:24:00 UTC,Europe/London,3042,duarte,2018-01-07 19:30:22 UTC,2018-05-28 16:33:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/9395724,https://static.inaturalist.org/photos/12768103/medium.jpeg?1515352898,,"",,3,0,false,,"Porto Santo, Madeira, Portugal",33.0699880793,-16.341116773,15,,open,false,,,,Porto Santo,Madeira,Portugal,Madeira,Porto Santo,Black-headed Gull,Chroicocephalus ridibundus,Black-headed Gull,Aves,144510
