id,observed_on,time_observed_at,user_id,created_at,updated_at,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name,iconic_taxon_name
37157760,2020-01-01,2020-01-01 11:13:00 UTC,1997051,2020-01-01 13:59:37 UTC,2020-01-01 14:56:56 UTC,39.3871916515,-9.2253106188,,Óbidos,,Anas platyrhynchos,Mallard,Aves
37157926,2020-01-01,2020-01-01 11:18:00 UTC,1997051,2020-01-01 14:07:17 UTC,2020-01-01 14:55:41 UTC,39.3907135331,-9.2210185574,,Óbidos,,Actitis hypoleucos,Common Sandpiper,Aves
37157972,2020-01-01,2020-01-01 11:14:00 UTC,1997051,2020-01-01 14:09:37 UTC,2020-01-01 14:55:24 UTC,39.2686998825,-9.2088336658,,Óbidos,,Numenius arquata,Eurasian Curlew,Aves
37159968,2020-01-01,2020-01-01 12:03:00 UTC,1997051,2020-01-01 15:39:34 UTC,2020-01-01 16:15:31 UTC,39.3944662512,-9.2204803529,,Óbidos,,Phalacrocorax carbo,Great Cormorant,Aves
37160339,2020-01-01,2020-01-01 11:57:00 UTC,1997051,2020-01-01 15:58:31 UTC,2020-04-01 15:04:01 UTC,39.3865053333,-9.2269853874,,Óbidos,,Ardea cinerea,Grey Heron,Aves
37160762,2020-01-01,2020-01-01 11:29:00 UTC,1997051,2020-01-01 16:17:44 UTC,2020-01-01 16:23:44 UTC,39.3872301833,-9.2231722049,,Óbidos,,Phalacrocorax carbo,Great Cormorant,Aves
37160912,2020-01-01,2020-01-01 11:56:00 UTC,1997051,2020-01-01 16:24:01 UTC,2020-01-01 16:26:25 UTC,39.3940477074,-9.2208474634,,Óbidos,,Egretta garzetta,Little Egret,Aves
37160991,2020-01-01,2020-01-01 12:05:00 UTC,1997051,2020-01-01 16:26:35 UTC,2020-01-01 16:27:35 UTC,39.3957557593,-9.2195457572,,Óbidos,,Motacilla alba,White Wagtail,Aves
37161189,2020-01-01,2020-01-01 11:49:00 UTC,1997051,2020-01-01 16:35:22 UTC,2020-02-25 15:39:08 UTC,39.3868409136,-9.2248021643,,Óbidos,,Larus michahellis,Yellow-legged Gull,Aves
37161270,2020-01-01,2020-01-01 11:31:00 UTC,1997051,2020-01-01 16:38:35 UTC,2020-01-01 21:40:14 UTC,39.3389317932,-9.2744376866,,Óbidos,,Numenius arquata,Eurasian Curlew,Aves
37161363,2020-01-01,2020-01-01 12:44:00 UTC,1997051,2020-01-01 16:41:22 UTC,2020-01-01 18:08:00 UTC,39.3956855445,-9.219156938,,Óbidos,,Cisticola juncidis,Zitting Cisticola,Aves
37165475,2020-01-01,2020-01-01 12:15:00 UTC,1997051,2020-01-01 19:05:26 UTC,2020-01-02 16:25:56 UTC,39.3914707532,-9.2236603032,,Óbidos,,Cisticola juncidis,Zitting Cisticola,Aves
37166602,2020-01-01,2020-01-01 11:52:00 UTC,1997051,2020-01-01 19:36:40 UTC,2020-01-01 22:31:22 UTC,39.3886008493,-9.2231858035,,Óbidos,,Egretta garzetta,Little Egret,Aves
37167893,2020-01-01,2020-01-01 11:54:00 UTC,1997051,2020-01-01 20:17:15 UTC,2020-01-01 22:26:59 UTC,39.3928896013,-9.2226249674,,Óbidos,,Cisticola juncidis,Zitting Cisticola,Aves
37170767,2020-01-01,2020-01-01 13:18:00 UTC,1997051,2020-01-01 21:39:30 UTC,2020-01-01 21:50:05 UTC,39.3200888587,-9.3280685786,,Peniche,,Buteo buteo,Common Buzzard,Aves
37192509,2020-01-02,2020-01-02 12:14:00 UTC,736083,2020-01-02 14:14:59 UTC,2020-01-02 16:32:56 UTC,41.121737938,-8.6659651995,,Vila Nova de Gaia,,Arenaria interpres,Ruddy Turnstone,Aves
37199609,2020-01-02,2020-01-02 14:58:00 UTC,1360566,2020-01-02 18:52:10 UTC,2020-01-02 22:51:18 UTC,38.9932057553,-8.090714805,,Avis,,Milvus milvus,Red Kite,Aves
37199635,2020-01-02,2020-01-02 14:50:18 UTC,1360566,2020-01-02 18:52:52 UTC,2020-01-02 22:51:16 UTC,38.9469261169,-8.0236253738,,,,Phalacrocorax carbo,Great Cormorant,Aves
37199644,2020-01-02,2020-01-02 14:56:39 UTC,1360566,2020-01-02 18:53:11 UTC,2020-01-09 12:19:26 UTC,38.9558029175,-8.003660202,,Avis,,Buteo buteo,Common Buzzard,Aves
37199667,2020-01-02,2020-01-02 14:49:29 UTC,1360566,2020-01-02 18:53:59 UTC,2020-01-02 19:46:48 UTC,38.9469070435,-8.0237350464,,Mora,,Phylloscopus collybita,Common Chiffchaff,Aves
37209794,2020-01-01,2020-01-01 16:35:00 UTC,1207192,2020-01-03 00:17:50 UTC,2020-01-03 00:39:57 UTC,38.7720366691,-9.1565779489,,Lisboa,,Phylloscopus collybita,Common Chiffchaff,Aves
37222071,2020-01-02,2020-01-02 15:11:00 UTC,1997051,2020-01-03 11:05:33 UTC,2020-01-18 13:56:28 UTC,38.6972187231,-9.1908434234,,Lisboa,,Estrilda astrild,Common Waxbill,Aves
37223448,2020-01-02,2020-01-02 20:59:20 UTC,1929500,2020-01-03 12:31:21 UTC,2020-01-03 12:36:14 UTC,37.1298202694,-8.4526758381,,Lagoa,,Phalacrocorax carbo,Great Cormorant,Aves
37226158,2020-01-02,2020-01-02 16:07:00 UTC,1092269,2020-01-03 14:36:58 UTC,2020-01-03 14:42:15 UTC,38.6650585602,-9.166627998,,Almada,,Chroicocephalus ridibundus,Black-headed Gull,Aves
37226159,2020-01-02,2020-01-02 17:09:00 UTC,1092269,2020-01-03 14:36:59 UTC,2020-01-03 14:42:15 UTC,38.6654218392,-9.1647857129,,Almada,,Egretta garzetta,Little Egret,Aves
