id,time_observed_at,user_id,user_login,created_at,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name
483499,,3042,duarte,2013-12-18 13:46:14 UTC,,Vagos,,Portugal,Aveiro,Vagos
1226740,,29474,sindic,2015-02-10 14:03:15 UTC,,Aveiro,,Portugal,Aveiro,Aveiro
1938589,2015-09-11 20:49:52 UTC,106302,premasagar,2015-09-12 07:07:23 UTC,,Arganil,,Portugal,Coimbra,Arganil
7170815,2017-07-23 11:46:58 UTC,296454,jpmalves,2017-07-23 11:50:21 UTC,,Odemira,,Portugal,Beja,Odemira
9087372,2017-12-02 11:42:43 UTC,16760,danimon,2017-12-08 11:46:16 UTC,,Manteigas,,Portugal,Guarda,Manteigas
9798386,2018-02-09 09:34:06 UTC,490534,mnc,2018-02-09 18:32:02 UTC,,Alcobaça,,Portugal,Leiria,Alcobaça
13387562,2018-06-12 13:44:04 UTC,29729,ldacosta,2018-06-13 07:06:49 UTC,,Coruche,,Portugal,Santarém,Coruche
14674321,,1092269,marioestevens,2018-07-24 01:29:11 UTC,,Almada,,Portugal,Setúbal,Almada
14779955,,682977,francisco100,2018-07-27 07:44:22 UTC,,Vila Nova de Gaia,,Portugal,Porto,Vila Nova de Gaia
14925613,,682977,francisco100,2018-07-30 03:57:19 UTC,,Cadaval,,Portugal,Lisboa,Cadaval
15228993,,1109953,jdinares,2018-08-08 16:33:53 UTC,,Óbidos,,Portugal,Leiria,Óbidos
15228996,,1109953,jdinares,2018-08-08 16:34:05 UTC,,Óbidos,,Portugal,Leiria,Óbidos
15568762,,1092338,mrmferreira,2018-08-17 14:26:17 UTC,,Torres Vedras,,Portugal,Lisboa,Torres Vedras
17372797,2018-10-10 07:57:59 UTC,825750,pmgcordeiro,2018-10-10 09:01:56 UTC,,Alfândega da Fé,,Portugal,Bragança,Alfândega da Fé
18486640,2018-08-18 11:12:08 UTC,727794,vitoreca,2018-11-19 01:08:54 UTC,,Ponte de Lima,,Portugal,Viana do Castelo,Ponte de Lima
